feedback_id,week,channel,location,category,sentiment,resolution_hours,comment
F3201,32,Email,Woodlands,delayed_delivery,negative,18,"Delivery arrived after the promised window."
F3202,32,Web,Jurong,delayed_delivery,negative,11,"Order status did not update until the next day."
F3203,32,Web,Online,returns_process,negative,22,"Return instructions were difficult to find."
F3204,32,In store,Orchard,staff_helpfulness,positive,2,"Staff found an alternative size quickly."
F3205,32,Email,Woodlands,product_availability,negative,30,"Two promoted items were unavailable."
F3206,32,Web,Tampines,packaging,negative,8,"Outer box was damaged but the product was intact."
F3207,32,Web,Online,delivery_speed,positive,3,"Same-day delivery arrived early."
F3208,32,Phone,Jurong,delayed_delivery,negative,16,"Customer called twice for an updated delivery time."
F3209,32,Email,Tampines,product_quality,negative,19,"One item had a loose component."
F3210,32,In store,Orchard,checkout_speed,positive,1,"Checkout was fast during lunch."
